time;speed;acc
53.90;1.14;0.46
53.96;1.13;0.35
54.01;1.12;0.26
54.07;1.10;0.18
54.12;1.10;0.12
54.18;1.11;0.08
54.23;1.13;0.05
54.29;1.15;0.02
54.34;1.17;-0.02
54.39;1.17;-0.07
54.45;1.15;-0.12
54.51;1.13;-0.18
54.56;1.11;-0.23
54.62;1.09;-0.27
54.67;1.06;-0.28
54.73;1.04;-0.28
54.78;1.02;-0.26
54.84;1.01;-0.22
54.89;1.00;-0.19
54.95;0.99;-0.17
55.00;0.99;-0.18
55.06;0.99;-0.21
55.11;1.01;-0.28
55.17;1.01;-0.37
55.22;1.00;-0.48
55.28;0.96;-0.56
55.33;0.90;-0.60
55.38;0.82;-0.58
55.44;0.74;-0.47
55.50;0.66;-0.28
55.55;0.62;-0.02
55.61;0.63;0.27
55.66;0.67;0.56
55.72;0.77;0.79
55.77;0.90;0.92
55.83;1.03;0.92
55.88;1.16;0.78
55.94;1.24;0.51
55.99;1.27;0.13
56.05;1.25;-0.29
56.10;1.17;-0.71
56.16;1.04;-1.07
56.21;0.90;-1.33
56.27;0.74;-1.47
56.32;0.61;-1.47
56.38;0.50;-1.34
56.43;0.43;-1.11
56.49;0.40;-0.81
56.54;0.39;-0.47
56.60;0.40;-0.12
56.65;0.42;0.22
56.71;0.46;0.52
56.76;0.51;0.77
56.82;0.57;0.97
56.87;0.65;1.11
56.93;0.74;1.20
56.98;0.84;1.23
57.04;0.93;1.24
57.09;1.01;1.24
57.14;1.06;1.24
57.20;1.10;1.28
57.26;1.14;1.35
57.31;1.18;1.46
57.37;1.23;1.60
57.42;1.32;1.75
57.48;1.45;1.88
57.53;1.61;1.97
57.59;1.79;1.97
57.64;1.95;1.88
57.70;2.09;1.71
57.75;2.20;1.48
57.81;2.25;1.22
57.86;2.26;0.97
57.92;2.26;0.76
57.97;2.23;0.63
58.03;2.20;0.59
58.08;2.20;0.63
58.13;2.23;0.75
58.19;2.29;0.89
58.25;2.39;1.05
58.30;2.49;1.17
58.36;2.59;1.24
58.41;2.69;1.24
58.47;2.78;1.18
58.52;2.85;1.06
58.58;2.90;0.91
58.63;2.94;0.74
58.69;2.95;0.59
58.74;2.95;0.46
58.80;2.94;0.37
58.85;2.94;0.30
58.91;2.94;0.27
58.96;2.96;0.27
59.02;2.99;0.26
59.07;3.02;0.26
59.12;3.05;0.24
59.18;3.08;0.21
59.24;3.08;0.15
59.29;3.08;0.09
59.35;3.08;0.01
59.40;3.07;-0.06
59.46;3.05;-0.14
59.51;3.05;-0.20
59.57;3.04;-0.25
59.62;3.01;-0.30
59.68;3.00;-0.34
59.73;2.97;-0.39
59.79;2.94;-0.44
59.84;2.92;-0.51
59.89;2.91;-0.60
59.95;2.88;-0.70
60.01;2.85;-0.81
60.06;2.81;-0.91
60.12;2.74;-1.01
60.17;2.65;-1.07
60.23;2.56;-1.09
60.28;2.47;-1.09
60.34;2.40;-1.06
60.39;2.35;-1.00
60.45;2.30;-0.94
60.50;2.27;-0.89
60.56;2.26;-0.85
60.61;2.24;-0.85
60.67;2.20;-0.86
60.72;2.15;-0.89
60.78;2.08;-0.94
60.83;2.01;-0.98
60.88;1.94;-1.01
60.94;1.87;-1.04
61.00;1.81;-1.06
61.05;1.77;-1.08
61.11;1.73;-1.08
61.16;1.67;-1.08
61.22;1.61;-1.06
61.27;1.55;-1.04
61.33;1.47;-1.00
61.38;1.39;-0.94
61.44;1.32;-0.87
61.49;1.27;-0.79
